Naziv,Zupanija,Naselje,Ulica,Postanski broj,Vrsta
"AMBULANTA ""TLM"" DOM ZDRAVLJA SIBENIK",SIBENSKO-KNINSKA ZUPANIJA,SIBENIK,NARODNOG PREPORODA 1,22000,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA ""VIDICI"" DOM ZDRAVLJA SIBENIK",SIBENSKO-KNINSKA ZUPANIJA,SIBENIK,UL. 8. UDARNE DALMAT. BRIGADE 16,22000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA A.MIHANOVICA DOMA ZDRAVLJA BJELOVARSKO-BILOGORSKE zupanije,BJELOVARSKO-BILOGORSKA ZUPANIJA,BJELOVAR,ANTUNA MIHANOVICA 8,43000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ANDRIJASEVCI DOM ZDRAVLJA VINKOVCI,VUKOVARSKO-SRIJEMSKA ZUPANIJA,ANDRIJASEVCI,MATIJE GUPCA 2,32271,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA ANTUNOVAC, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,ANTUNOVAC,BRACE RADICA 4,31216,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ARBANASI DOMA ZDRAVLJA ZADARSKE zupanije,ZADARSKA ZUPANIJA,ZADAR,TRG GOSPE LORETSKE 5,23000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ARZANO DOMA ZDRAVLJA SPLITSKO-DALMATINSKE zupanije,SPLITSKO-DALMATINSKA ZUPANIJA,ARZANO,PROGON BB,21246,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA BABINA GREDA DOM ZDRAVLJA ZUPANJA,VUKOVARSKO-SRIJEMSKA ZUPANIJA,BABINA GREDA,KRALJA TOMISLAVA 3,32276,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA BABINA GREDA KRALJA TOMISLAVA 5, DOM ZDRAVLJA ZUPANJA",VUKOVARSKO-SRIJEMSKA ZUPANIJA,BABINA GREDA,KRALJA TOMISLAVA 5,33276,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA BALDEKIN-S.RADICA 46, DOM ZDRAVLJA SIBENIK",SIBENSKO-KNINSKA ZUPANIJA,SIBENIK,STJEPANA RADICA 46,22000,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA BANOVA JARUGA, DOMA ZDRAVLJA SISACKO-MOSLAVACKE zupanije",SISACKO-MOSLAVACKA ZUPANIJA,BANOVA JARUGA,ULICA STJEPANA RADICA 43,44321,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA BAPSKA DOM ZDRAVLJA VUKOVAR,VUKOVARSKO-SRIJEMSKA ZUPANIJA,BAPSKA,JOSIPA JURJA STROSSMAYERA 2,32235,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA BARANJSKO PETROVO SELO, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,BARANJSKO PETROVO SELO,KOLODVORSKA 67,31322,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA BARBAN, ISTARSKIH DOMOVA ZDRAVLJA",ISTARSKA ZUPANIJA,BARBAN,BARBAN 74,52207,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA BARILOVIC DOM ZDRAVLJA DUGA RESA,KARLOVACKA ZUPANIJA,BARILOVIC,BARILOVIC 90,47252,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA BATALA DOM ZDRAVLJA DUBROVNIK,DUBROVACKO-NERETVANSKA ZUPANIJA,DUBROVNIK,OD SVETOG MIHAJLA 4,20000,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA BATINA, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,BATINA,TRG SLOBODE 3,31306,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA BEBRINA DOM ZDRAVLJA SLAVONSKI BROD,BRODSKO-POSAVSKA ZUPANIJA,BEBRINA,BEBRINA 79,35254,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA BEDEKOVCINA, DOMA ZDRAVLJA KRAPINSKO-ZAGORSKE zupanije",KRAPINSKO-ZAGORSKA ZUPANIJA,BEDEKOVCINA,JANKOVCICA I 2,49221,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA BEKETINCI, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,BEKETINCI,CEPINSKA 42 A,31403,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA BELETINEC, DOMA ZDRAVLJA VARAZDINSKE zupanije",VARAZDINSKA ZUPANIJA,BELETINEC,ULICA STJEPANA RADICA BB,42214,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA BELI MANASTIR, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,BELI MANASTIR,SKOLSKA 5,31300,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA BELICA DOM ZDRAVLJA CAKOVEC,MEDIMURSKA ZUPANIJA,BELICA,ULICA KRALJA TOMISLAVA BB,40319,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA BELISCE, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,BELISCE,PRILAZ DR. VILKA IVEKOVICA 1,31551,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA BENCEKOVICEVA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,ULICA STJEPANA BENCEKOVICA 46,10000,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA BENKOVAC, DOMA ZDRAVLJA ZADARSKE zupanije",ZADARSKA ZUPANIJA,BENKOVAC,UL. STJEPANA RADICA 14,23420,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA BERETINEC, DOMA ZDRAVLJA VARAZDINSKE zupanije",VARAZDINSKA ZUPANIJA,BERETINEC,TRG HRVATSKIH BRANITELJA 1,42201,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA BIBINJE DOMA ZDRAVLJA ZADARSKE zupanije,ZADARSKA ZUPANIJA,BIBINJE,TRG TOME BULICA 1,23205,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA BIBINJE, TRG TOME BULICA 2, DOM ZDRAVLJA ZADARSKE zupanije",ZADARSKA ZUPANIJA,BIBINJE,TRG TOME BULICA 2,23205,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA BIJELO BRDO, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,BIJELO BRDO,NIKOLE TESLE 67,31204,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA BILICE DOM ZDRAVLJA SIBENIK,SIBENSKO-KNINSKA ZUPANIJA,BILICE,BOSUC 2 A,22000,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA BILJE, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,BILJE,ULICA SANDORA PETEFIJA 35,31327,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA BIOGRAD NA MORU DOMA ZDRAVLJA ZADARSKE zupanije,ZADARSKA ZUPANIJA,BIOGRAD NA MORU,MATIJE IVANICA 6,23210,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA BISTRA, MAROVSKA 6, DOM ZDRAVLJA ZAGREBACKE zupanije",ZAGREBACKA ZUPANIJA,DONJA BISTRA,MAROVSKA ULICA 6,10298,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA BIZOVAC, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,BIZOVAC,VALPOVACKA 15,31222,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA BJELOVAR-A.MIHANOVICA, DOMA ZDRAVLJA BJELOVARSKO-BILOGORSKE zupanije",BJELOVARSKO-BILOGORSKA ZUPANIJA,BJELOVAR,ANTUNA MIHANOVICA 10,43000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA BLACA DOM ZDRAVLJA VINKOVCI,VUKOVARSKO-SRIJEMSKA ZUPANIJA,ROKOVCI,ULICA PLATANA 1,32271,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA BLATO DOM ZDRAVLJA ""DR. ANTE FRANULOVIC""",DUBROVACKO-NERETVANSKA ZUPANIJA,BLATO,32. ULICA 11,20271,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA BLIZNA DONJA, DOMA ZDRAVLJA SPLITSKO-DALMATINSKE zupanije",SPLITSKO-DALMATINSKA ZUPANIJA,BLIZNA DONJA,CESTA BLIZNA DONJA BB,21228,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA BOBOTA DOM ZDRAVLJA VUKOVAR,VUKOVARSKO-SRIJEMSKA ZUPANIJA,BOBOTA,MITROVICEVA BB,32225,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA BOLMAN, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,BOLMAN,SVETOZARA MILETICA 00,31323,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA BOROVO DOM ZDRAVLJA VUKOVAR,VUKOVARSKO-SRIJEMSKA ZUPANIJA,BOROVO,GLAVNA 5,32227,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA BOSILJEVO DOM ZDRAVLJA DUGA RESA,KARLOVACKA ZUPANIJA,BOSILJEVO,BOSILJEVO BB,47251,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA BOSNJACI DOM ZDRAVLJA ZUPANJA,VUKOVARSKO-SRIJEMSKA ZUPANIJA,BOSNJACI,TRG FRA. BERNARDINA -TOME LEAKOVICA 2,32275,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA BOZAVA DOMA ZDRAVLJA ZADARSKE zupanije,ZADARSKA ZUPANIJA,BOZAVA,BOZAVA 30,23286,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA BOZE PERICICA 5 DOMA ZDRAVLJA ZADARSKE zupanije,ZADARSKA ZUPANIJA,ZADAR,ULICA BOZE PERICICA 5,23000,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA BRACEVCI, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,BRACEVCI,ULICA VUKOVARSKA 4,31423,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA BRINJE DOM ZDRAVLJA OTOCAC,LICKO-SENJSKA ZUPANIJA,BRINJE,TRG ADMIRALA JANKA VUKOVICA PODKAPELSKOG 6,53260,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA BRODARICE, DOM ZDRAVLJA SIBENIK",SIBENSKO-KNINSKA ZUPANIJA,BRODARICA,KRAPANJSKIH SPUZVARA 94,22231,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA BRODANCI, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,BRODANCI,SKOLSKA 3,31223,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA BRSADIN DOM ZDRAVLJA VUKOVAR,VUKOVARSKO-SRIJEMSKA ZUPANIJA,BRSADIN,MILENKA MIRKOVICA 6,32222,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA BRUSKA DOMA ZDRAVLJA ZADARSKE zupanije,ZADARSKA ZUPANIJA,BRUSKA,BRUSKA BB,23421,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA BUDIMCI, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,BUDIMCI,ULICA BANA JOSIPA JELACICA 167,31432,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA BUKOVLJE DOM ZDRAVLJA SLAVONSKI BROD,BRODSKO-POSAVSKA ZUPANIJA,BUKOVLJE,FIROV KRAJ 1,35209,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA BULINAC, DOMA ZDRAVLJA BJELOVARSKO-BILOGORSKE zupanije",BJELOVARSKO-BILOGORSKA ZUPANIJA,BULINAC,BULINAC 84 A,43273,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA BUSETINA, DOMA ZDRAVLJA VIROVITICKO-PODRAVSKE zupanije",VIROVITICKO-PODRAVSKA ZUPANIJA,BUSETINA,MATIJE GUPCA 25,33404,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA BUZET, ISTARSKIH DOMOVA ZDRAVLJA",ISTARSKA ZUPANIJA,BUZET,GORICICA 1,52420,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA CABUNA, DOMA ZDRAVLJA VIROVITICKO-PODRAVSKE zupanije",VIROVITICKO-PODRAVSKA ZUPANIJA,CABUNA,STJEPANA RADICA 26,33412,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA CAVTAT DOM ZDRAVLJA DUBROVNIK,DUBROVACKO-NERETVANSKA ZUPANIJA,CAVTAT,PUT OD CAVTATA 12,20210,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA CERIC DOM ZDRAVLJA VINKOVCI,VUKOVARSKO-SRIJEMSKA ZUPANIJA,CERIC,IVANA MESTROVICA 3,32221,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA CERNA DOM ZDRAVLJA ZUPANJA,VUKOVARSKO-SRIJEMSKA ZUPANIJA,CERNA,SETALISTE DR. FRANJE TUDMANA 9,32272,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA CERNIK, DOM ZDRAVLJA DR. ANDRIJA STAMPAR NOVA GRADISKA",BRODSKO-POSAVSKA ZUPANIJA,CERNIK,FRANKOPANSKA 161,35404,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA CESTICA, DOMA ZDRAVLJA VARAZDINSKE zupanije",VARAZDINSKA ZUPANIJA,CESTICA,DRAVSKA ULICA BB,42208,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA CETINGRAD DOM ZDRAVLJA SLUNJ,KARLOVACKA ZUPANIJA,CETINGRAD,TRG HRVATSKIH BRANITELJA 6,47222,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA CISTA PROVO, TRG A. STARCEVICA, DOM ZDRAVLJA SPLITSKO-DALMATINSKE zupanije",SPLITSKO-DALMATINSKA ZUPANIJA,CISTA PROVO,TRG DR. ANTE STARCEVICA 1,21256,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA CRIKVENICA, DOMA ZDRAVLJA PRIMORSKO-GORANSKE zupanije",PRIMORSKO-GORANSKA ZUPANIJA,CRIKVENICA,KOTORSKA 13 A,51260,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA CACINCI, DOMA ZDRAVLJA VIROVITICKO-PODRAVSKE zupanije",VIROVITICKO-PODRAVSKA ZUPANIJA,CACINCI,TRG KARDINALA FRANJE KUHARICA 20,33514,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA CAKOVCI DOM ZDRAVLJA VUKOVAR,VUKOVARSKO-SRIJEMSKA ZUPANIJA,CAKOVCI,SANDORA PETEFIJA 6,32238,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA CAKOVEC-MATICE HRVATSKE, DOM ZDRAVLJA CAKOVEC",MEDIMURSKA ZUPANIJA,CAKOVEC,ULICA MATICE HRVATSKE 1 B,40000,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA CARA DOM ZDRAVLJA ""DR.ANTE FRANULOVIC""",DUBROVACKO-NERETVANSKA ZUPANIJA,CARA,,20273,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA CEMINAC, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,CEMINAC,LJUDEVITA GAJA 2,31325,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA CEPIN, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,CEPIN,ULICA GRADA VUKOVARA 6 B,31431,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA CRNKOVCI, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,CRNKOVCI,KARDINALA ALOJZIJA STEPINCA 53,31555,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA D. MIHOLJAC-TRG A. STARCEVICA, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,DONJI MIHOLJAC,TRG ANTE STARCEVICA 22,31540,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA DALJ, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,DALJ,SLAVKA KOLARA 2,31226,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA DARDA, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,DARDA,ANTE STARCEVICA 26 A,31326,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DARUVAR DOMA ZDRAVLJA BJELOVARSKO-BILOGORSKE zupanije,BJELOVARSKO-BILOGORSKA ZUPANIJA,DARUVAR,PETRA PRERADOVICA 7,43500,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DAVOR DOM ZDRAVLJA DR ANDRIJA STAMPAR,BRODSKO-POSAVSKA ZUPANIJA,DAVOR,IVANA GUNDULICA 35,35425,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DMITRA ZVONIMIRA-ZADAR DOMA ZDRAVLJA ZADARSKE zupanije,ZADARSKA ZUPANIJA,ZADAR,ULICA KRALJA DMITRA ZVONIMIRA 1,23000,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA DOLAC 2, DOM ZDRAVLJA ZAGREB-CENTAR",GRAD ZAGREB,ZAGREB,DOLAC 2,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA DUBROVNIK,DUBROVACKO-NERETVANSKA ZUPANIJA,DUBROVNIK,DR. ANTE STARCEVICA 41,20000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA DUBROVNIK,DUBROVACKO-NERETVANSKA ZUPANIJA,DUBROVNIK,ANDROVICEVA BB,20000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA GOSPIC,LICKO-SENJSKA ZUPANIJA,GOSPIC,KANISKA ULICA 111,53000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA KARLOVAC,KARLOVACKA ZUPANIJA,KARLOVAC,DR. ANDRIJE STAMPARA 3,47000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA SLAVONSKI BROD,BRODSKO-POSAVSKA ZUPANIJA,SLAVONSKI BROD,"""JOSIP JURAJ STROSSMAYER"" 43",35000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA SLAVONSKI BROD,BRODSKO-POSAVSKA ZUPANIJA,SLAVONSKI BROD,NIKOLE ZRINSKOG ULICA 86,35000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA SLAVONSKI BROD,BRODSKO-POSAVSKA ZUPANIJA,SLAVONSKI BROD,ULICA KRALJICE JELENE BB,35000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA SLAVONSKI BROD,BRODSKO-POSAVSKA ZUPANIJA,SLAVONSKI BROD,"NASELJE ""MIKRORAJON"" 13 / 3",35000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA SLAVONSKI BROD,BRODSKO-POSAVSKA ZUPANIJA,SLAVONSKI BROD,ULICA DR. ANDRIJE STAMPARA 42,35000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA SLAVONSKI BROD,BRODSKO-POSAVSKA ZUPANIJA,SLAVONSKI BROD,NASELJE SLAVONIJA I 6,35000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA SLAVONSKI BROD,BRODSKO-POSAVSKA ZUPANIJA,SLAVONSKI BROD,ULICA VINOGRADSKA CESTA 7,35000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA SLAVONSKI BROD,BRODSKO-POSAVSKA ZUPANIJA,SLAVONSKI BROD,OSJECKA ULICA 125,35000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA SLAVONSKI BROD ANDRIJE HEBRANGA,BRODSKO-POSAVSKA ZUPANIJA,SLAVONSKI BROD,"NASELJE ""ANDRIJA HEBRANG"" 4 / 31",35000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA VINKOVCI,VUKOVARSKO-SRIJEMSKA ZUPANIJA,VINKOVCI,HRVATSKIH KRALJEVA 76 H,32100,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,PALMOTICEVA ULICA 32 A,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,TUSKANAC 23,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,NOVA VES 36,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,SESTINSKA CESTA 1,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,ULICA DURE CRNATKA BB,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,KACICEVA ULICA 24,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,ULICA VLADIMIRA NAZORA 49,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,ULICA KNEZA BRANIMIRA 65,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,SEFEROVA ULICA BB,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,MARTICEVA ULICA 63 A,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,ULICA MATKA LAGINJE 16,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,ULICA MILANA SUFFLAYA 2,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,ISCE 13 A,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,ULICA FRANA VRBANICA 6,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,ULICA KNEZA BORNE 3,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA DOM ZDRAVLJA ZAGREB-CENTAR,GRAD ZAGREB,ZAGREB,ULICA PETRA I TOME ERDÖDYJA 11,10000,Ambulanta doma zdravlja dislocirana jedinica
